MONTH,DAY,YEAR,PERIOD,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,CLRA,MOSS,CRETE,H_AMPS,H_FAB,AMPS,BROMUS,H_LESPEDEZA,LESPEDEZA,L_ASTER,F_ASTER,D_ASTER,ASTER_21,COLA,CONYZA,COTYLEDON,GRASS2,ARIST,DIAC,DITE,DOCK,PANO,POPR,PIGR,PRSE,CLMA,CROPT,CROTON,CHRYOP,SOLID,ANDRO,DICHANTH,ACGR,AGAC,AGALINIS,ASTER2,BLACKBERRY,BLACKGUM,BLUE,CARA,CAREX,CHFA,CHLA,CRGL,CYPERACEAE,DESMODIUM,DEWBERRY,ELTO,ERIG,EUHY,FAB1,FABVine,FABACEAE,FALLOPIA,FERN_WING,FERNlike,GAOF,GAY,GERANIUM,GNAPU,HYGE,JUNCUS,KRVI,LECU,LEHI,LIATRIS,LINAR,LOJA,LOPE,MIMOSA,NUTE,OAK,OPUNT,OXALIS,PARONCHYIA,PARTH,PANIC,PERF,PINE,PLANTAG,POGRA,POSI,POCI,QUERCUS,RED_MIDVEIN,RHTY,RHUS,RHYN,RUBIACEAE,RUBUS,SASS,SENNA,SISYR,SMILAX,SMBO,SMRO,STBI,SYMPH,TOOTH,TORA2,TRADE,TRPE4,UNK_1,UNK_2,WWAC,WIREWEED,HEDR,LACTUCA2,LACTUCA,VACCINIUM
,,2020,PRE,1,11,4,CS,CAGED,SCAT,10%,5%,,,,,,,,,,,,,,,,,28,,,,6,,,,,,,,,3,1,,,,3,,1,,,,2,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,11,5,OC,OPEN,CARRION,,,,,,,,,,,,,,,,,,5,16,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,11,6,CC,CAGED,CARRION,10%,,,,,,,,,,,,,,,,,,20,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,11,7,REF,NONE,NONE,15%,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,4,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,38,1,OP,OPEN,PROPAGULE,,,,,,,,,,,,,,,,,,,3,,,20,,,,,,32,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,38,2,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,,,28,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,38,3,OC,OPEN,CARRION,,,,,,,,,,,,,,,,,,,4,,,10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,2020,PRE,2,38,4,OS,OPEN,SCAT,,,,,,,,,,,,,,,,,,,7,,,5,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,38,5,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,,,2,,,28,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,38,6,CS,CAGED,SCAT,,,,,,,,,,,,,,,,,,14,7,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,38,7,REF,NONE,NONE,,,,,,,,,,,,,,,,,,,4,27,,24,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,4,1,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,,1,,53,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,4,2,OC,OPEN,CARRION,,,,,,,,,,,,,,,,,,23,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,4,3,OP,OPEN,PROPAGULE,,,,,,,,,,,,,,,,,,14,,64,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,q,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,2020,PRE,2,4,4,CS,CAGED,SCAT,,,,,,,,,,,,,,,,,,3,,69,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,4,5,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,,7,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,4,6,OS,OPEN,SCAT,,,,,,,,,,,,,,,,,,2,2,101,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,4,7,REF,NONE,NONE,,,,,,,,,,,,,,,,,,3,,80,,6,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,5,1,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,,,4,9,,13,,,,,9,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,2020,PRE,2,5,2,OC,OPEN,CARRION,,,,,,,,,,,,,,,,,,6,30,8,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2020,PRE,2,OPEN,PROPAGULE,,,,,,,,,,,,,,,,,,4,24,22,,2,,,,,3,3,,,,1,,,,,,,,,,,,,,,,,3,,7,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,2020,PRE,2,5,4,OS,OPEN,SCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,5,5,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,,2,,18,,3,,,,,4,7,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,5,6,CS,CAGED,SCAT,,,,,,,,,,,,,,,,,,4,9,35,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,2,5,7,REF,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,18,1,OC,OPEN,CARRION,,,,,,,,,,,,,,,,,,,5,75,,,,,,,4,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,18,2,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,,,8,4,,2,,19,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,18,3,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,,,29,,,,,7,,,,,,,,10,,6,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,2020,PRE,3,18,4,OP,OPEN,PROPAGULE,,,,,,,,,,,,,,,,,,,49,3,,,,4,,,,,,6,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,18,5,OS,OPEN,SCAT,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,1,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,18,6,CS,CAGED,SCAT,,,,,,,,,,,,,,,,,,1,31,,,,,6,,,,4,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,18,7,REF,NONE,NONE,,,,,,,,,,,,,,,,,,3,49,1,,,,,,,,,,10,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,19,1,OS,OPEN,SCAT,,,,,,,,,,,,,,,,,,,5,75,,,,,,,,4,,7,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,19,2,OP,OPEN,PROPAGULE,,,,,,,,,,,,,,,,,,,,1,,,8,20,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,19,3,CS,CAGED,SCAT,,5%,,,,,,,,,,,,,,,,,,7,,,,11,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,19,4,CC,CAGED,CARRION,,5%,,,,,,,,,,,,,,,,,,7,,,10,21,,,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,2020,PRE,3,19,5,OC,OPEN,CARRION,5%,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
,,2020,PRE,3,19,6,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,,,4,35,,,,15,,,,5,,,3,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,19,7,REF,NONE,NONE,,,,,,,,,,,,,,,,,,,25,44,,,,15,,,,8,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,20,1,OS,OPEN,SCAT,,,,,,,,,,,,,,,,,,,11,3,,,,21,,,,5,,2,,,1,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,
,,2020,PRE,3,20,2,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,,,33,66,,,,14,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,20,3,CS,CAGED,SCAT,,,,,,,,,,,,,,,,,,,16,20,,,,18,,,,20,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,20,4,OP,OPEN,PROPAGULE,,,,,,,,,,,,,,,,,,1,27,10,,,,19,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,20,5,OC,OPEN,CARRION,,,,,,,,,,,,,,,,,,,18,5,,,,12,,,,6,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,8,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,
,,2020,PRE,3,20,6,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,,1,,6,,,4,,,,,,,28,,,9,,,,,,,,,1,,1,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,2020,PRE,3,20,7,REF,NONE,NONE,,,,,,,,,,,,,,,,,,,2,57,,,,3,,,,17,,4,6,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,37,1,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,,,33,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,1,1,
4,24,2021,POST,1,37,2,OP,OPEN,PROPAGULE,,,,,,,,,,,,,3,,,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,37,3,OS,OPEN,SCAT,,,,,,,,,2,,,,13,,,,3,,51,,3,,,,,,,55,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,37,4,OC,OPEN,CARRION,,,,,,,,,,,,,4,,,,14,,55,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,37,5,CS,CAGED,SCAT,,,,,,,,,10,,,,7,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,37,6,CP,CAGED,PROPAGULE,,,,,,,,,,,,,2,,,,15,,2,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,37,7,REF,NONE,NONE,,,,,,,,,5,,,,14,,,,11,,6,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,11,1,OP,OPEN,PROPAGULE,,,,,,,,,2,,10,,,,,1,,,24,,,,2,,,,,20,,,1,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,11,2,CP,CAGED,PROPAGULE,,,,,,,,,,3,9,,,,,,,,16,,,,,,,,,62,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,
4,24,2021,POST,1,11,3,OS,OPEN,SCAT,,,,,,,,,,,2,,,,,5,,,21,,,,3,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
4,24,2021,POST,1,11,4,CS,CAGED,SCAT,,,,,,,,,,,11,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,11,5,OC,OPEN,CARRION,,,,,,,,,,,3,,,,,,,,27,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,11,,,4,,,,,,,,,,,,,,,,,
4,24,2021,POST,1,11,6,CC,CAGED,CARRION,,,,,,,,,,,,,,,,,1,,23,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,2,,,,6,,,,,1,2,,,,,,,2,,,
4,24,2021,POST,1,11,7,REF,NONE,NONE,,,,,,,,,,,11,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
4,25,2021,POST,2,38,1,OP,OPEN,PROPAGULE,,,,,,,,1,,,,,,,,,,,19,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,2021,POST,2,38,2,CC,CAGED,CARRION,,,,,,,,3,,,,,,,,,,,41,,,,,,,,,69,,,,,,,,,,,,11,,,,,,,,,10,,,,2,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,2021,POST,2,38,3,OC,OPEN,CARRION,,,,,,,,,,1,,1,,,,24,,,57,,,,,,,,,49,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,2021,POST,2,38,4,OS,OPEN,SCAT,,,,,,,,3,,,,,,,,,10,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
4,25,2021,POST,2,38,5,CP,CAGED,PROPAGULE,,,,,,,,,,,,,,,,,63,,1,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,2021,POST,2,38,6,CS,CAGED,SCAT,,,,,,,,,,16,,,,,,8,18,,3,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4,25,2021,POST,2,38,7,REF,NONE,NONE,,,,,,,,5,,5,,,,,,14,,,15,,,,,,,,,86,,,,,,,,,,,,1,,,,,,,,,10,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4,25,2021,POST,2,4,1,CC,CAGED,CARRION,,,,,,1,,,,,,,,,,26,2,,3,,13,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,9,,24,,,,,,,,,7,,9,,,1,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,7,,,,,,15,,
4,25,2021,POST,2,4,2,OC,OPEN,CARRION,,,,,,7,,,,30,,,,,,34,,,29,,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,2,,,15,,,,,,24,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,,
4,25,2021,POST,2,4,3,OP,OPEN,PROPAGULE,,,,,,,,2,,,,,,,,31,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,18,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,14,,,,,,1,,
4,25,2021,POST,2,4,4,CS,CAGED,SCAT,,,,,,,,,,164,,,,,,7,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,8,,,5,,,,,,5,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
4,25,2021,POST,2,4,5,CP,CAGED,PROPAGULE,,,,,,,9,,,81,,,,,,27,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,110,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,18,,,,,,,,,,
4,25,2021,POST,2,4,6,OS,OPEN,SCAT,,,,,,,5,,,71,,,,,,17,,,47,,,,,1,,,,21,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,2021,POST,2,4,7,REF,NONE,NONE,,,,,,,4,,,77,,,,,,30,,,13,,1,,,,,,,151,,,,,,,,,,3,,,,,,,1,,,,5,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,1,,,,,,,,1,,
4,25,2021,POST,2,5,1,CP,CAGED,PROPAGULE,,,,,,,,,,13,,,,,,6,,,57,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,
