DATE,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,TRANSECT,DISTANCE,CELLS,DISTURBANCE
12/7/20,1,37,0,REF,NONE,NONE,WEST,2,0,0
12/7/20,1,37,0,REF,NONE,NONE,WEST,3,0,0
12/7/20,1,37,0,REF,NONE,NONE,SOUTH,1,0,0
12/7/20,1,37,0,REF,NONE,NONE,SOUTH,2,0,0
12/7/20,1,37,0,REF,NONE,NONE,SOUTH,3,0,0
12/7/20,1,37,6,CP,CAGED,PROPAGULE,CENTER,0,0,0
12/7/20,1,37,6,CP,CAGED,PROPAGULE,NORTH,1,1,6.25
12/7/20,1,37,6,CP,CAGED,PROPAGULE,NORTH,2,1,6.25
12/7/20,1,37,6,CP,CAGED,PROPAGULE,NORTH,3,4,25
12/7/20,1,37,6,CP,CAGED,PROPAGULE,EAST,1,0,0
12/7/20,1,37,6,CP,CAGED,PROPAGULE,EAST,2,2,12.5
12/7/20,1,37,6,CP,CAGED,PROPAGULE,EAST,3,4,25
12/7/20,1,37,6,CP,CAGED,PROPAGULE,WEST,1,6,37.5
12/7/20,1,37,6,CP,CAGED,PROPAGULE,WEST,2,0,0
12/7/20,1,37,6,CP,CAGED,PROPAGULE,WEST,3,0,0
12/7/20,1,37,6,CP,CAGED,PROPAGULE,SOUTH,1,0,0
12/7/20,1,37,6,CP,CAGED,PROPAGULE,SOUTH,2,1,6.25
12/7/20,1,37,6,CP,CAGED,PROPAGULE,SOUTH,3,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,CENTER,0,3,18.75
12/7/20,1,11,1,OP,OPEN,PROPAGULE,NORTH,1,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,NORTH,2,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,NORTH,3,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,EAST,1,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,EAST,2,7,43.75
12/7/20,1,11,1,OP,OPEN,PROPAGULE,EAST,3,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,WEST,1,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,WEST,2,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,WEST,3,1,6.25
12/7/20,1,11,1,OP,OPEN,PROPAGULE,SOUTH,1,0,0
12/7/20,1,11,1,OP,OPEN,PROPAGULE,SOUTH,2,2,12.5
12/7/20,1,11,1,OP,OPEN,PROPAGULE,SOUTH,3,0,0
12/7/20,1,11,2,CP,CAGED,PROPAGULE,CENTER,0,0,0
12/7/20,1,11,2,CP,CAGED,PROPAGULE,NORTH,1,1,6.25
12/7/20,1,11,2,CP,CAGED,PROPAGULE,NORTH,2,3,18.75
12/7/20,1,11,2,CP,CAGED,PROPAGULE,NORTH,3,1,6.25
12/7/20,1,11,2,CP,CAGED,PROPAGULE,EAST,1,0,0
12/7/20,1,11,2,CP,CAGED,PROPAGULE,EAST,2,0,0
12/7/20,1,11,2,CP,CAGED,PROPAGULE,EAST,3,3,18.75
12/7/20,1,11,2,CP,CAGED,PROPAGULE,WEST,1,1,6.25
12/7/20,1,11,2,CP,CAGED,PROPAGULE,WEST,2,1,6.25
12/7/20,1,11,2,CP,CAGED,PROPAGULE,WEST,3,2,12.5
12/7/20,1,11,2,CP,CAGED,PROPAGULE,SOUTH,1,2,12.5
12/7/20,1,11,2,CP,CAGED,PROPAGULE,SOUTH,2,1,6.25
12/7/20,1,11,2,CP,CAGED,PROPAGULE,SOUTH,3,0,0
12/7/20,1,11,3,OS,OPEN,SCAT,CENTER,0,6,37.5
12/7/20,1,11,3,OS,OPEN,SCAT,NORTH,1,4,25
12/7/20,1,11,3,OS,OPEN,SCAT,NORTH,2,3,18.75
12/7/20,1,11,3,OS,OPEN,SCAT,NORTH,3,2,12.5
12/7/20,1,11,3,OS,OPEN,SCAT,EAST,1,2,12.5
12/7/20,1,11,3,OS,OPEN,SCAT,EAST,2,1,6.25
12/7/20,1,11,3,OS,OPEN,SCAT,EAST,3,9,56.25
12/7/20,1,11,3,OS,OPEN,SCAT,WEST,1,2,12.5
12/7/20,1,11,3,OS,OPEN,SCAT,WEST,2,8,50
12/7/20,1,11,3,OS,OPEN,SCAT,WEST,3,4,25
12/7/20,1,11,3,OS,OPEN,SCAT,SOUTH,1,4,25
12/7/20,1,11,3,OS,OPEN,SCAT,SOUTH,2,0,0
12/7/20,1,11,3,OS,OPEN,SCAT,SOUTH,3,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,CENTER,0,3,18.75
12/7/20,1,11,4,CS,CAGED,SCAT,NORTH,1,3,18.75
12/7/20,1,11,4,CS,CAGED,SCAT,NORTH,2,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,NORTH,3,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,EAST,1,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,EAST,2,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,EAST,3,3,18.75
12/7/20,1,11,4,CS,CAGED,SCAT,WEST,1,1,6.25
12/7/20,1,11,4,CS,CAGED,SCAT,WEST,2,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,WEST,3,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,SOUTH,1,0,0
12/7/20,1,11,4,CS,CAGED,SCAT,SOUTH,2,1,6.25
12/7/20,1,11,4,CS,CAGED,SCAT,SOUTH,3,0,0
12/7/20,1,11,5,OC,OPEN,CARRION,CENTER,0,13,81.25
12/7/20,1,11,5,OC,OPEN,CARRION,NORTH,1,11,68.75
12/7/20,1,11,5,OC,OPEN,CARRION,NORTH,2,13,81.25
12/7/20,1,11,5,OC,OPEN,CARRION,NORTH,3,8,50
12/7/20,1,11,5,OC,OPEN,CARRION,EAST,1,13,81.25
12/7/20,1,11,5,OC,OPEN,CARRION,EAST,2,4,25
12/7/20,1,11,5,OC,OPEN,CARRION,EAST,3,4,25
12/7/20,1,11,5,OC,OPEN,CARRION,WEST,1,12,75
12/7/20,1,11,5,OC,OPEN,CARRION,WEST,2,11,68.75
12/7/20,1,11,5,OC,OPEN,CARRION,WEST,3,3,18.75
12/7/20,1,11,5,OC,OPEN,CARRION,SOUTH,1,15,93.75
12/7/20,1,11,5,OC,OPEN,CARRION,SOUTH,2,5,31.25
12/7/20,1,11,5,OC,OPEN,CARRION,SOUTH,3,1,6.25
12/7/20,1,11,6,CC,CAGED,CARRION,CENTER,0,16,100
12/7/20,1,11,6,CC,CAGED,CARRION,NORTH,1,2,12.5
12/7/20,1,11,6,CC,CAGED,CARRION,NORTH,2,2,12.5
12/7/20,1,11,6,CC,CAGED,CARRION,NORTH,3,0,0
12/7/20,1,11,6,CC,CAGED,CARRION,EAST,1,4,25
12/7/20,1,11,6,CC,CAGED,CARRION,EAST,2,0,0
12/7/20,1,11,6,CC,CAGED,CARRION,EAST,3,0,0
12/7/20,1,11,6,CC,CAGED,CARRION,WEST,1,9,56.25
12/7/20,1,11,6,CC,CAGED,CARRION,WEST,2,5,31.25
12/7/20,1,11,6,CC,CAGED,CARRION,WEST,3,0,0
12/7/20,1,11,6,CC,CAGED,CARRION,SOUTH,1,2,12.5
12/7/20,1,11,6,CC,CAGED,CARRION,SOUTH,2,3,18.75
12/7/20,1,11,6,CC,CAGED,CARRION,SOUTH,3,3,18.75
12/7/20,1,11,0,REF,NONE,NONE,CENTER,0,5,31.25
12/7/20,1,11,0,REF,NONE,NONE,NORTH,1,11,68.75
12/7/20,1,11,0,REF,NONE,NONE,NORTH,2,6,37.5
12/7/20,1,11,0,REF,NONE,NONE,NORTH,3,4,25
12/7/20,1,11,0,REF,NONE,NONE,EAST,1,1,6.25
12/7/20,1,11,0,REF,NONE,NONE,EAST,2,2,12.5
12/7/20,1,11,0,REF,NONE,NONE,EAST,3,2,12.5
12/7/20,1,11,0,REF,NONE,NONE,WEST,1,4,25
12/7/20,1,11,0,REF,NONE,NONE,WEST,2,2,12.5
12/7/20,1,11,0,REF,NONE,NONE,WEST,3,1,6.25
12/7/20,1,11,0,REF,NONE,NONE,SOUTH,1,5,31.25
12/7/20,1,11,0,REF,NONE,NONE,SOUTH,2,7,43.75
12/7/20,1,11,0,REF,NONE,NONE,SOUTH,3,7,43.75
12/7/20,2,38,1,OP,OPEN,PROPAGULE,CENTER,0,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,NORTH,1,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,NORTH,2,1,6.25
12/7/20,2,38,1,OP,OPEN,PROPAGULE,NORTH,3,4,25
12/7/20,2,38,1,OP,OPEN,PROPAGULE,EAST,1,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,EAST,2,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,EAST,3,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,WEST,1,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,WEST,2,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,WEST,3,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,SOUTH,1,0,0
12/7/20,2,38,1,OP,OPEN,PROPAGULE,SOUTH,2,3,18.75
12/7/20,2,38,1,OP,OPEN,PROPAGULE,SOUTH,3,5,31.25
12/7/20,2,38,2,CC,CAGED,CARRION,CENTER,0,9,56.25
12/7/20,2,38,2,CC,CAGED,CARRION,NORTH,1,4,25
12/7/20,2,38,2,CC,CAGED,CARRION,NORTH,2,2,12.5
12/7/20,2,38,2,CC,CAGED,CARRION,NORTH,3,0,0
12/7/20,2,38,2,CC,CAGED,CARRION,EAST,1,9,56.25
12/7/20,2,38,2,CC,CAGED,CARRION,EAST,2,2,12.5
12/7/20,2,38,2,CC,CAGED,CARRION,EAST,3,1,6.25
12/7/20,2,38,2,CC,CAGED,CARRION,WEST,1,8,50
12/7/20,2,38,2,CC,CAGED,CARRION,WEST,2,4,25
12/7/20,2,38,2,CC,CAGED,CARRION,WEST,3,0,0
12/7/20,2,38,2,CC,CAGED,CARRION,SOUTH,1,2,12.5
12/7/20,2,38,2,CC,CAGED,CARRION,SOUTH,2,2,12.5
12/7/20,2,38,2,CC,CAGED,CARRION,SOUTH,3,5,31.25
12/7/20,2,38,3,OC,OPEN,CARRION,CENTER,0,9,56.25
12/7/20,2,38,3,OC,OPEN,CARRION,NORTH,1,12,75
12/7/20,2,38,3,OC,OPEN,CARRION,NORTH,2,9,56.25
12/7/20,2,38,3,OC,OPEN,CARRION,NORTH,3,6,37.5
12/7/20,2,38,3,OC,OPEN,CARRION,EAST,1,7,43.75
12/7/20,2,38,3,OC,OPEN,CARRION,EAST,2,8,50
12/7/20,2,38,3,OC,OPEN,CARRION,EAST,3,4,25
12/7/20,2,38,3,OC,OPEN,CARRION,WEST,1,12,75
12/7/20,2,38,3,OC,OPEN,CARRION,WEST,2,4,25
12/7/20,2,38,3,OC,OPEN,CARRION,WEST,3,2,12.5
12/7/20,2,38,3,OC,OPEN,CARRION,SOUTH,1,13,81.25
12/7/20,2,38,3,OC,OPEN,CARRION,SOUTH,2,10,62.5
12/7/20,2,38,3,OC,OPEN,CARRION,SOUTH,3,7,43.75
12/7/20,2,38,4,OS,OPEN,SCAT,CENTER,0,3,18.75
12/7/20,2,38,4,OS,OPEN,SCAT,NORTH,1,3,18.75
12/7/20,2,38,4,OS,OPEN,SCAT,NORTH,2,10,62.5
12/7/20,2,38,4,OS,OPEN,SCAT,NORTH,3,1,6.25
12/7/20,2,38,4,OS,OPEN,SCAT,EAST,1,3,18.75
12/7/20,2,38,4,OS,OPEN,SCAT,EAST,2,1,6.25
12/7/20,2,38,4,OS,OPEN,SCAT,EAST,3,0,0
12/7/20,2,38,4,OS,OPEN,SCAT,WEST,1,0,0
12/7/20,2,38,4,OS,OPEN,SCAT,WEST,2,0,0
12/7/20,2,38,4,OS,OPEN,SCAT,WEST,3,6,37.5
12/7/20,2,38,4,OS,OPEN,SCAT,SOUTH,1,2,12.5
12/7/20,2,38,4,OS,OPEN,SCAT,SOUTH,2,4,25
12/7/20,2,38,4,OS,OPEN,SCAT,SOUTH,3,2,12.5
12/7/20,2,38,5,CP,CAGED,PROPAGULE,CENTER,0,0,0
12/7/20,2,38,5,CP,CAGED,PROPAGULE,NORTH,1,2,12.5
12/7/20,2,38,5,CP,CAGED,PROPAGULE,NORTH,2,9,56.25
12/7/20,2,38,5,CP,CAGED,PROPAGULE,NORTH,3,11,68.75
12/7/20,2,38,5,CP,CAGED,PROPAGULE,EAST,1,0,0
12/7/20,2,38,5,CP,CAGED,PROPAGULE,EAST,2,1,6.25
12/7/20,2,38,5,CP,CAGED,PROPAGULE,EAST,3,1,6.25
12/7/20,2,38,5,CP,CAGED,PROPAGULE,WEST,1,0,0
12/7/20,2,38,5,CP,CAGED,PROPAGULE,WEST,2,1,6.25
12/7/20,2,38,5,CP,CAGED,PROPAGULE,WEST,3,0,0
12/7/20,2,38,5,CP,CAGED,PROPAGULE,SOUTH,1,3,18.75
12/7/20,2,38,5,CP,CAGED,PROPAGULE,SOUTH,2,0,0
12/7/20,2,38,5,CP,CAGED,PROPAGULE,SOUTH,3,1,6.25
12/7/20,2,38,6,CS,CAGED,SCAT,CENTER,0,7,43.75
12/7/20,2,38,6,CS,CAGED,SCAT,NORTH,1,2,12.5
12/7/20,2,38,6,CS,CAGED,SCAT,NORTH,2,14,87.5
12/7/20,2,38,6,CS,CAGED,SCAT,NORTH,3,1,6.25
12/7/20,2,38,6,CS,CAGED,SCAT,EAST,1,11,68.75
12/7/20,2,38,6,CS,CAGED,SCAT,EAST,2,2,12.5
12/7/20,2,38,6,CS,CAGED,SCAT,EAST,3,2,12.5
12/7/20,2,38,6,CS,CAGED,SCAT,WEST,1,3,18.75
12/7/20,2,38,6,CS,CAGED,SCAT,WEST,2,1,6.25
12/7/20,2,38,6,CS,CAGED,SCAT,WEST,3,1,6.25
12/7/20,2,38,6,CS,CAGED,SCAT,SOUTH,1,3,18.75
12/7/20,2,38,6,CS,CAGED,SCAT,SOUTH,2,0,0
12/7/20,2,38,6,CS,CAGED,SCAT,SOUTH,3,0,0
12/7/20,2,38,0,REF,NONE,NONE,CENTER,0,0,0
12/7/20,2,38,0,REF,NONE,NONE,NORTH,1,1,6.25
12/7/20,2,38,0,REF,NONE,NONE,NORTH,2,0,0
12/7/20,2,38,0,REF,NONE,NONE,NORTH,3,2,12.5
12/7/20,2,38,0,REF,NONE,NONE,EAST,1,0,0
12/7/20,2,38,0,REF,NONE,NONE,EAST,2,0,0
12/7/20,2,38,0,REF,NONE,NONE,EAST,3,0,0
12/7/20,2,38,0,REF,NONE,NONE,WEST,1,0,0
12/7/20,2,38,0,REF,NONE,NONE,WEST,2,1,6.25
12/7/20,2,38,0,REF,NONE,NONE,WEST,3,0,0
12/7/20,2,38,0,REF,NONE,NONE,SOUTH,1,2,12.5
12/7/20,2,38,0,REF,NONE,NONE,SOUTH,2,1,6.25
12/7/20,2,38,0,REF,NONE,NONE,SOUTH,3,2,12.5
12/7/20,2,4,1,CC,CAGED,CARRION,CENTER,0,15,93.75
12/7/20,2,4,1,CC,CAGED,CARRION,NORTH,1,2,12.5
12/7/20,2,4,1,CC,CAGED,CARRION,NORTH,2,3,18.75
12/7/20,2,4,1,CC,CAGED,CARRION,NORTH,3,5,31.25
12/7/20,2,4,1,CC,CAGED,CARRION,EAST,1,14,87.5
12/7/20,2,4,1,CC,CAGED,CARRION,EAST,2,2,12.5
12/7/20,2,4,1,CC,CAGED,CARRION,EAST,3,1,6.25
12/7/20,2,4,1,CC,CAGED,CARRION,WEST,1,6,37.5
12/7/20,2,4,1,CC,CAGED,CARRION,WEST,2,13,81.25
12/7/20,2,4,1,CC,CAGED,CARRION,WEST,3,14,87.5
12/7/20,2,4,1,CC,CAGED,CARRION,SOUTH,1,15,93.75
12/7/20,2,4,1,CC,CAGED,CARRION,SOUTH,2,13,81.25
12/7/20,2,4,1,CC,CAGED,CARRION,SOUTH,3,2,12.5
12/7/20,2,4,2,OC,OPEN,CARRION,CENTER,0,12,75
12/7/20,2,4,2,OC,OPEN,CARRION,NORTH,1,13,81.25
12/7/20,2,4,2,OC,OPEN,CARRION,NORTH,2,0,0
12/7/20,2,4,2,OC,OPEN,CARRION,NORTH,3,1,6.25
12/7/20,2,4,2,OC,OPEN,CARRION,EAST,1,11,68.75
12/7/20,2,4,2,OC,OPEN,CARRION,EAST,2,5,31.25
12/7/20,2,4,2,OC,OPEN,CARRION,EAST,3,4,25
12/7/20,2,4,2,OC,OPEN,CARRION,WEST,1,3,18.75
12/7/20,2,4,2,OC,OPEN,CARRION,WEST,2,4,25
12/7/20,2,4,2,OC,OPEN,CARRION,WEST,3,8,50
12/7/20,2,4,2,OC,OPEN,CARRION,SOUTH,1,13,81.25
12/7/20,2,4,2,OC,OPEN,CARRION,SOUTH,2,2,12.5
12/7/20,2,4,2,OC,OPEN,CARRION,SOUTH,3,5,31.25
12/7/20,2,4,3,OP,OPEN,PROPAGULE,CENTER,0,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,NORTH,1,1,6.25
12/7/20,2,4,3,OP,OPEN,PROPAGULE,NORTH,2,2,12.5
12/7/20,2,4,3,OP,OPEN,PROPAGULE,NORTH,3,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,EAST,1,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,EAST,2,2,12.5
12/7/20,2,4,3,OP,OPEN,PROPAGULE,EAST,3,5,31.25
12/7/20,2,4,3,OP,OPEN,PROPAGULE,WEST,1,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,WEST,2,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,WEST,3,1,6.25
12/7/20,2,4,3,OP,OPEN,PROPAGULE,SOUTH,1,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,SOUTH,2,0,0
12/7/20,2,4,3,OP,OPEN,PROPAGULE,SOUTH,3,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,CENTER,0,8,50
12/7/20,2,4,4,CS,CAGED,SCAT,NORTH,1,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,NORTH,2,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,NORTH,3,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,EAST,1,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,EAST,2,1,6.25
12/7/20,2,4,4,CS,CAGED,SCAT,EAST,3,4,25
12/7/20,2,4,4,CS,CAGED,SCAT,WEST,1,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,WEST,2,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,WEST,3,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,SOUTH,1,12,75
12/7/20,2,4,4,CS,CAGED,SCAT,SOUTH,2,0,0
12/7/20,2,4,4,CS,CAGED,SCAT,SOUTH,3,0,0
12/7/20,2,4,5,CP,CAGED,PROPAGULE,CENTER,0,2,12.5
12/7/20,2,4,5,CP,CAGED,PROPAGULE,NORTH,1,14,87.5
12/7/20,2,4,5,CP,CAGED,PROPAGULE,NORTH,2,1,6.25
12/7/20,2,4,5,CP,CAGED,PROPAGULE,NORTH,3,0,0
12/7/20,2,4,5,CP,CAGED,PROPAGULE,EAST,1,2,12.5
12/7/20,2,4,5,CP,CAGED,PROPAGULE,EAST,2,1,6.25
12/7/20,2,4,5,CP,CAGED,PROPAGULE,EAST,3,3,18.75
12/7/20,2,4,5,CP,CAGED,PROPAGULE,WEST,1,3,18.75
12/7/20,2,4,5,CP,CAGED,PROPAGULE,WEST,2,0,0
12/7/20,2,4,5,CP,CAGED,PROPAGULE,WEST,3,0,0
12/7/20,2,4,5,CP,CAGED,PROPAGULE,SOUTH,1,4,25
12/7/20,2,4,5,CP,CAGED,PROPAGULE,SOUTH,2,3,18.75
12/7/20,2,4,5,CP,CAGED,PROPAGULE,SOUTH,3,1,6.25
12/7/20,2,4,6,OS,OPEN,SCAT,CENTER,0,2,12.5
12/7/20,2,4,6,OS,OPEN,SCAT,NORTH,1,2,12.5
12/7/20,2,4,6,OS,OPEN,SCAT,NORTH,2,2,12.5
12/7/20,2,4,6,OS,OPEN,SCAT,NORTH,3,0,0
12/7/20,2,4,6,OS,OPEN,SCAT,EAST,1,0,0
12/7/20,2,4,6,OS,OPEN,SCAT,EAST,2,0,0
12/7/20,2,4,6,OS,OPEN,SCAT,EAST,3,0,0
12/7/20,2,4,6,OS,OPEN,SCAT,WEST,1,1,6.25
12/7/20,2,4,6,OS,OPEN,SCAT,WEST,2,0,0
12/7/20,2,4,6,OS,OPEN,SCAT,WEST,3,1,6.25
12/7/20,2,4,6,OS,OPEN,SCAT,SOUTH,1,0,0
12/7/20,2,4,6,OS,OPEN,SCAT,SOUTH,2,1,6.25
12/7/20,2,4,6,OS,OPEN,SCAT,SOUTH,3,0,0
12/7/20,2,4,0,REF,NONE,NONE,CENTER,0,3,18.75
12/7/20,2,4,0,REF,NONE,NONE,NORTH,1,0,0
12/7/20,2,4,0,REF,NONE,NONE,NORTH,2,1,6.25
12/7/20,2,4,0,REF,NONE,NONE,NORTH,3,0,0
12/7/20,2,4,0,REF,NONE,NONE,EAST,1,0,0
12/7/20,2,4,0,REF,NONE,NONE,EAST,2,0,0
12/7/20,2,4,0,REF,NONE,NONE,EAST,3,1,6.25
12/7/20,2,4,0,REF,NONE,NONE,WEST,1,0,0
12/7/20,2,4,0,REF,NONE,NONE,WEST,2,5,31.25
12/7/20,2,4,0,REF,NONE,NONE,WEST,3,3,18.75
12/7/20,2,4,0,REF,NONE,NONE,SOUTH,1,1,6.25
12/7/20,2,4,0,REF,NONE,NONE,SOUTH,2,0,0
12/7/20,2,4,0,REF,NONE,NONE,SOUTH,3,0,0
12/7/20,2,5,1,OP,OPEN,PROPAGULE,CENTER,0,1,6.25
12/7/20,2,5,1,OP,OPEN,PROPAGULE,NORTH,1,2,12.5
12/7/20,2,5,1,OP,OPEN,PROPAGULE,NORTH,2,4,25
12/7/20,2,5,1,OP,OPEN,PROPAGULE,NORTH,3,0,0
12/7/20,2,5,1,OP,OPEN,PROPAGULE,EAST,1,0,0
12/7/20,2,5,1,OP,OPEN,PROPAGULE,EAST,2,0,0
12/7/20,2,5,1,OP,OPEN,PROPAGULE,EAST,3,1,6.25
